ID,Target Site,Target Type,URL,Contact Method,Template Used,Target CasinoPulse URL,Anchor Type,Date Prepared,Outreach Date,Follow-Up 1 Date,Follow-Up 2 Date,Status,Link Acquired,Live Link URL,Notes
CP-001,AskGamblers,casino directory,https://www.askgamblers.com,Partners / editorial form,Directory listing pitch (#7) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,P10 primary asset: South Asia payment report
CP-002,Casino Guru,casino directory,https://casino.guru,Editorial contact form,Resource page pitch (#5) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,Report + blacklist methodology angle
CP-003,Affiliate Guard Dog,casino affiliate blog,https://www.affiliateguarddog.com,Forum PM / site contact,Initial email (#1),https://casinopuls.site/how-we-review,naked URL,,,,,NOT_CONTACTED,No,,Secondary asset: methodology
CP-004,CoinDesk,crypto blog,https://www.coindesk.com,Editorial pitch — needs named editor,Crypto citation (#8),https://casinopuls.site/reports/south-asia-casino-payments-2026,partial-match,,,,,NEEDS_RESEARCH,No,,Report stablecoin section
CP-005,BeInCrypto,crypto blog,https://beincrypto.com,Editorial contact,Resource page pitch (#5) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,USDT + regional report
CP-006,Finextra,payment/fintech blog,https://www.finextra.com,Editorial pitch — B2B desk,Payment citation (#8) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NEEDS_RESEARCH,No,,UPI/MFS comparison table
CP-007,Payments Dive,payment/fintech blog,https://www.paymentsdive.com,Editor lookup required,Resource page pitch (#5),https://casinopuls.site/bangladesh-casino-payments,naked URL,,,,,LOW_PRIORITY,No,,Secondary: Bangladesh hub
CP-008,India Stack resource page,South Asia resource page,https://www.india.gov.in,Government portal — not viable,N/A,https://casinopuls.site/india-casino-payments,branded,,,,,LOW_PRIORITY,No,,Not outreach viable
CP-009,Responsible Gambling Council,responsible gambling resource,https://www.responsiblegambling.org,Contact form,RG outreach + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,RG + payment awareness
CP-010,GamCare,responsible gambling resource,https://www.gamcare.org.uk,Partnerships / content team email,RG outreach + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,Priority 1 send
CP-011,Slotozilla,comparison site,https://www.slotozilla.com,Contact / partnership page,Comparison pitch + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,partial-match,2026-07-07,,,,READY_TO_SEND,No,,Regional payment citation
CP-012,Casino.org,comparison site,https://www.casino.org,Editorial submission,Directory pitch (#7) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,Directory + report
CP-013,99Bitcoins,crypto blog,https://99bitcoins.com,Contact / guest post guidelines,Crypto citation (#8) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,BTC + regional report
CP-014,Blockonomi,crypto blog,https://blockonomi.com,Contact page,Resource page pitch (#5),https://casinopuls.site/crypto/usdt-erc20-casino,naked URL,,,,,NOT_CONTACTED,No,,Secondary: ERC-20 guide
CP-015,Online Casino Reports,casino affiliate blog,https://www.onlinecasinereports.com,Editorial contact,Initial email (#1) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,Methodology + report
CP-016,Payment Methods Wiki,payment/fintech blog,https://paymentmethodswiki.com,Verify site active,Payment citation (#8),https://casinopuls.site/payment/bkash,partial-match,,,,,NEEDS_RESEARCH,No,,Secondary: bKash guide
CP-017,The Crypto Times,crypto blog,https://www.cryptotimes.io,Editorial email lookup,Crypto citation (#8),https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NEEDS_RESEARCH,No,,Report citation
CP-018,Affiliate Valley,casino affiliate blog,https://affiliatevalley.com,Contact / contribute page,Guest post pitch (#4) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,2026-07-07,,,,READY_TO_SEND,No,,Methodology transparency
CP-019,CoinTelegraph,crypto blog,https://cointelegraph.com,Editorial / press contact,Resource page pitch (#5),https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,High editorial bar
CP-020,Decrypt,crypto blog,https://decrypt.co,Editorial contact,Crypto citation (#8),https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,Report citation
CP-021,Gambling Therapy,responsible gambling resource,https://www.gamblingtherapy.org,Contact / partnerships,RG outreach + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,Wave 2 RG target
CP-022,Gamban,responsible gambling resource,https://gamban.com,Partnerships contact,RG outreach + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,Wave 2 RG target
CP-023,World Casino Directory,comparison site,https://www.worldcasinodirectory.com,Directory submission,Directory pitch (#7) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,Directory profile
CP-024,iGaming Business,casino affiliate blog,https://igamingbusiness.com,Editorial / news desk,Guest post pitch (#4) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,Industry publication
CP-025,SBC News,casino affiliate blog,https://sbcnews.co.uk,Editorial contact,Initial email (#1) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,South Asia payments story
CP-026,CoinGape,crypto blog,https://coingape.com,Editorial contact,Crypto citation (#8) + report,https://casinopuls.site/reports/south-asia-casino-payments-2026,branded,,,,,NOT_CONTACTED,No,,India crypto audience
